Date,Time,Temperature,Humidity,Soil,WaterLevel,Watering
2019-6-20,20:13:38,26.00,28,43,0,0
2019-6-20,20:18:39,20.20,36,43,0,0
2019-6-20,20:23:41,17.90,44,43,0,0
2019-6-20,20:28:42,16.60,49,43,0,0
2019-6-20,20:33:43,15.90,52,43,0,0
2019-6-20,20:38:44,15.50,55,43,0,0
2019-6-20,20:43:45,15.00,57,43,0,0
2019-6-20,20:48:47,15.00,58,43,0,0
2019-6-20,20:53:48,15.40,57,42,0,0
2019-6-20,20:58:49,15.70,56,43,0,0
2019-6-20,21:3:50,15.90,56,43,0,0
2019-6-20,21:8:51,15.90,55,43,0,0
2019-6-20,21:13:53,15.90,54,42,0,0
2019-6-20,21:18:54,15.90,54,43,0,0
2019-6-20,21:23:55,15.90,54,43,0,0
2019-6-20,21:28:56,15.90,55,43,0,0
2019-6-20,21:33:57,15.80,55,42,0,0
2019-6-20,21:38:59,15.70,55,42,0,0
2019-6-20,21:44:0,15.70,55,42,0,0
2019-6-20,21:49:1,15.60,55,43,0,0
2019-6-20,21:54:2,15.60,55,42,0,0
2019-6-20,21:59:4,15.50,55,42,0,0
2019-6-20,22:4:5,15.40,55,42,0,0
2019-6-20,22:9:6,15.30,55,42,0,0
2019-6-20,22:14:7,15.30,56,42,0,0
2019-6-20,22:19:8,15.10,56,42,0,0
2019-6-20,22:24:10,15.10,56,42,0,0
2019-6-20,22:29:11,15.00,56,42,0,0
2019-6-20,22:34:12,14.90,57,42,0,0
2019-6-20,22:39:13,14.80,57,42,0,0
2019-6-20,22:44:14,14.80,57,42,0,0
2019-6-20,22:49:16,14.70,58,42,0,0
2019-6-20,22:54:17,14.70,58,42,0,0
2019-6-20,22:59:18,14.70,58,42,0,0
2019-6-20,23:4:19,14.70,58,42,0,0
2019-6-20,23:9:20,14.60,59,42,0,0
2019-6-20,23:14:22,14.60,59,42,0,0
2019-6-20,23:19:23,14.60,59,42,0,0
2019-6-20,23:24:24,14.60,59,42,0,0
2019-6-20,23:29:25,14.50,59,42,0,0
2019-6-20,23:34:27,14.50,59,42,0,0
2019-6-20,23:39:28,14.50,59,42,0,0
2019-6-20,23:44:29,14.50,60,42,0,0
2019-6-20,23:49:30,14.40,60,42,0,0
2019-6-20,23:54:31,14.40,60,42,0,0
2019-6-20,23:59:33,14.40,60,42,0,0
2019-6-21,0:4:34,14.40,60,42,0,0
2019-6-21,0:9:35,14.40,60,41,0,0
2019-6-21,0:14:36,14.40,61,41,0,0
2019-6-21,0:19:37,14.40,61,41,0,0
2019-6-21,0:24:39,14.40,61,41,0,0
2019-6-21,0:29:40,14.40,61,41,0,0
2019-6-21,0:34:41,14.40,61,41,0,0
2019-6-21,0:39:42,14.40,62,41,0,0
2019-6-21,0:44:44,14.30,62,41,0,0
2019-6-21,0:49:45,14.40,62,41,0,0
2019-6-21,0:54:46,14.40,62,41,0,0
2019-6-21,0:59:47,14.40,62,41,0,0
2019-6-21,1:4:48,14.40,63,41,0,0
2019-6-21,1:9:50,14.40,63,41,0,0
2019-6-21,1:14:51,14.50,63,41,0,0
2019-6-21,1:19:52,14.50,64,41,0,0
2019-6-21,1:24:53,14.60,65,40,0,0
2019-6-21,1:29:55,14.60,65,40,0,0
2019-6-21,1:34:56,14.70,64,40,0,0
2019-6-21,1:39:57,14.70,65,40,0,0
2019-6-21,1:44:58,14.80,65,40,0,0
2019-6-21,1:49:59,14.90,65,40,0,0
2019-6-21,1:55:1,15.00,65,40,0,0
2019-6-21,2:0:2,15.10,64,40,0,0
2019-6-21,2:5:3,15.10,64,40,0,0
2019-6-21,2:10:4,15.20,64,40,0,0
2019-6-21,2:15:5,15.20,64,40,0,0
2019-6-21,2:20:7,15.30,64,40,0,0
2019-6-21,2:25:8,15.30,64,40,0,0
2019-6-21,2:30:9,15.40,63,40,0,0
2019-6-21,2:35:10,15.40,64,40,0,0
2019-6-21,2:40:11,15.40,63,40,0,0
2019-6-21,2:45:13,15.40,64,40,0,0
2019-6-21,2:50:14,15.40,64,40,0,0
2019-6-21,2:55:15,15.50,64,40,0,0
2019-6-21,3:0:16,15.60,64,40,0,0
2019-6-21,3:5:18,15.60,64,40,0,0
2019-6-21,3:10:19,15.70,64,39,0,0
2019-6-21,3:15:20,15.70,64,40,0,0
2019-6-21,3:20:21,15.80,64,40,0,0
2019-6-21,3:25:22,15.80,64,40,0,0
2019-6-21,3:30:24,15.80,64,39,0,0
2019-6-21,3:35:25,15.90,64,40,0,0
2019-6-21,3:40:26,15.90,64,40,0,0
2019-6-21,3:45:27,15.90,64,40,0,0
2019-6-21,3:50:28,15.90,63,40,0,0
2019-6-21,3:55:30,15.90,64,40,0,0
2019-6-21,4:0:31,15.90,63,40,0,0
2019-6-21,4:5:32,15.90,63,39,0,0
2019-6-21,4:10:33,15.90,63,39,0,0
2019-6-21,4:15:34,15.90,63,40,0,0
2019-6-21,4:20:36,15.90,63,40,0,0
2019-6-21,4:25:37,15.90,63,40,0,0
2019-6-21,4:30:38,15.90,63,40,0,0
2019-6-21,4:35:39,15.80,63,39,0,0
2019-6-21,4:40:41,15.80,63,40,0,0
2019-6-21,4:45:42,15.80,63,40,0,0
2019-6-21,4:50:43,15.80,63,40,0,0
2019-6-21,4:55:44,15.80,63,40,0,0
2019-6-21,5:0:45,15.70,63,39,0,0
2019-6-21,5:5:47,15.70,63,40,0,0
2019-6-21,5:10:48,15.70,63,40,0,0
2019-6-21,5:15:49,15.70,64,40,0,0
2019-6-21,5:20:50,15.60,64,40,0,0
2019-6-21,5:25:51,15.70,64,39,0,0
2019-6-21,5:30:53,15.70,64,39,0,0
2019-6-21,5:35:54,15.60,64,40,0,0
2019-6-21,5:40:55,15.60,64,40,0,0
2019-6-21,5:45:56,15.60,64,40,0,0
2019-6-21,5:50:58,15.60,64,39,0,0
2019-6-21,5:55:59,15.60,64,39,0,0
2019-6-21,6:1:0,15.60,64,39,0,0
2019-6-21,6:6:1,15.60,64,39,0,0
2019-6-21,6:11:2,15.60,64,39,0,0
2019-6-21,6:16:4,15.60,64,40,0,0
2019-6-21,6:21:5,15.40,65,49,0,0
2019-6-21,6:26:6,15.40,65,50,0,0
2019-6-21,6:31:7,15.40,65,51,0,0
2019-6-21,6:36:8,15.40,65,51,0,0
2019-6-21,6:41:10,15.50,65,52,0,0
2019-6-21,6:46:11,15.50,65,52,0,0
2019-6-21,6:51:12,15.60,65,52,0,0
2019-6-21,6:56:13,15.60,65,52,0,0
2019-6-21,7:1:14,15.60,65,52,0,0
2019-6-21,7:6:16,15.60,65,52,0,0
2019-6-21,7:11:17,15.60,65,52,0,0
2019-6-21,7:16:18,15.60,65,52,0,0
2019-6-21,7:21:19,15.60,65,53,0,0
2019-6-21,7:26:21,15.60,65,52,0,0
2019-6-21,7:31:22,15.60,65,53,0,0
2019-6-21,7:36:23,15.60,65,53,0,0
2019-6-21,7:41:24,15.60,65,53,0,0
2019-6-21,7:46:25,15.70,65,53,0,0
2019-6-21,7:51:27,15.70,65,53,0,0
2019-6-21,7:56:28,15.70,65,52,0,0
2019-6-21,8:1:29,15.70,65,53,0,0
2019-6-21,8:6:30,15.70,65,53,0,0
2019-6-21,8:11:31,15.70,65,53,0,0
2019-6-21,8:16:33,15.70,65,53,0,0
2019-6-21,8:21:34,15.70,65,53,0,0
2019-6-21,8:26:35,15.70,65,53,0,0
2019-6-21,8:31:36,15.70,65,53,0,0
2019-6-21,8:36:37,15.80,65,53,0,0
2019-6-21,8:41:39,15.80,65,53,0,0
2019-6-21,8:46:40,15.80,65,53,0,0
2019-6-21,8:51:41,15.70,65,53,0,0
2019-6-21,8:56:42,15.70,65,53,0,0
2019-6-21,9:1:44,15.70,65,53,0,0
2019-6-21,9:6:45,15.80,65,53,0,0
2019-6-21,9:11:46,15.80,65,53,0,0
2019-6-21,9:16:47,15.80,65,53,0,0
2019-6-21,9:21:48,15.90,66,53,0,0
2019-6-21,9:26:50,16.00,67,53,0,0
2019-6-21,9:31:51,16.10,67,53,0,0
2019-6-21,9:36:52,16.10,67,53,0,0
2019-6-21,9:41:53,16.30,67,53,0,0
2019-6-21,9:46:54,16.30,66,53,0,0
2019-6-21,9:51:56,16.40,66,53,0,0
2019-6-21,9:56:57,16.50,66,53,0,0
2019-6-21,10:1:58,16.50,66,53,0,0
2019-6-21,10:6:59,16.60,66,53,0,0
2019-6-21,10:12:0,16.60,66,53,0,0
2019-6-21,10:17:2,16.60,65,53,0,0
2019-6-21,10:22:3,16.60,65,53,0,0
2019-6-21,10:27:4,16.60,65,53,0,0
2019-6-21,10:32:5,16.60,65,53,0,0
2019-6-21,10:37:6,16.60,65,53,0,0
2019-6-21,10:42:8,16.60,65,53,0,0
2019-6-21,10:47:9,16.60,65,53,0,0
2019-6-21,10:52:10,16.60,65,53,0,0
2019-6-21,10:57:11,16.60,65,53,0,0
2019-6-21,11:2:13,16.60,65,53,0,0
2019-6-21,11:7:14,16.60,65,54,0,0
2019-6-21,11:12:15,16.60,65,53,0,0
2019-6-21,11:17:16,16.60,65,54,0,0
2019-6-21,11:22:17,16.50,65,54,0,0
2019-6-21,11:27:19,16.50,65,53,0,0
2019-6-21,11:32:20,16.50,65,53,0,0
2019-6-21,11:37:21,16.40,65,53,0,0
2019-6-21,11:42:22,16.40,65,53,0,0
2019-6-21,11:47:23,16.40,65,54,0,0
2019-6-21,11:52:25,16.30,65,54,0,0
2019-6-21,11:57:26,16.30,65,54,0,0
2019-6-21,12:2:27,16.30,65,54,0,0
2019-6-21,12:7:28,16.30,66,54,0,0
2019-6-21,12:12:29,16.30,66,54,0,0
2019-6-21,12:17:31,16.20,66,54,0,0
2019-6-21,12:22:32,16.20,66,54,0,0
2019-6-21,12:27:33,16.20,66,54,0,0
2019-6-21,12:32:34,16.20,66,54,0,0
2019-6-21,12:37:35,16.10,66,54,0,0
2019-6-21,12:42:37,16.10,66,54,0,0
2019-6-21,12:47:38,16.20,66,54,0,0
2019-6-21,12:52:39,16.20,66,54,0,0
2019-6-21,12:57:40,16.20,66,54,0,0
2019-6-21,13:2:42,16.30,66,54,0,0
2019-6-21,13:7:43,16.40,66,54,0,0
2019-6-21,13:12:44,16.40,66,54,0,0
2019-6-21,13:17:45,16.40,66,54,0,0
2019-6-21,13:22:46,16.40,66,54,0,0
2019-6-21,13:27:48,16.50,66,53,0,0
2019-6-21,13:32:49,16.60,66,54,0,0
2019-6-21,13:37:50,16.60,66,53,0,0
2019-6-21,13:42:51,16.80,66,53,0,0
2019-6-21,13:47:52,16.90,65,53,0,0
2019-6-21,13:52:54,17.00,65,53,0,0
2019-6-21,13:57:55,17.10,65,53,0,0
2019-6-21,14:2:56,17.20,65,53,0,0
2019-6-21,14:7:57,17.20,65,53,0,0
2019-6-21,14:12:58,17.40,65,53,0,0
2019-6-21,14:18:0,17.40,65,53,0,0
2019-6-21,14:23:1,17.60,64,53,0,0
2019-6-21,14:28:2,17.70,64,53,0,0
2019-6-21,14:33:3,17.90,64,52,0,0
2019-6-21,14:38:4,18.00,65,53,0,0
2019-6-21,14:43:6,18.10,64,53,0,0
2019-6-21,14:48:7,18.10,64,53,0,0
2019-6-21,14:53:8,18.20,64,53,0,0
2019-6-21,14:58:9,18.30,63,53,0,0
2019-6-21,15:3:10,18.30,63,53,0,0
2019-6-21,15:8:12,18.30,63,53,0,0
2019-6-21,15:13:13,18.20,62,53,0,0
2019-6-21,15:18:14,18.20,63,53,0,0
2019-6-21,15:23:15,18.20,63,54,0,0
2019-6-21,15:28:16,18.20,62,53,0,0
2019-6-21,15:33:18,18.20,62,53,0,0
2019-6-21,15:38:19,18.20,62,53,0,0
2019-6-21,15:43:20,18.20,62,54,0,0
2019-6-21,15:48:21,18.20,62,54,0,0
2019-6-21,15:53:22,18.20,62,53,0,0
2019-6-21,15:58:24,18.30,62,54,0,0
2019-6-21,16:3:25,18.30,62,53,0,0
2019-6-21,16:8:26,18.30,62,54,0,0
2019-6-21,16:13:27,18.40,62,53,0,0
2019-6-21,16:18:28,18.40,62,53,0,0
2019-6-21,16:23:30,18.40,62,53,0,0
2019-6-21,16:28:31,18.40,61,53,0,0
2019-6-21,16:33:32,18.40,61,53,0,0
2019-6-21,16:38:33,18.50,61,53,0,0
2019-6-21,16:43:34,18.60,61,54,0,0
2019-6-21,16:48:36,18.60,60,53,0,0
2019-6-21,16:53:37,18.60,60,53,0,0
2019-6-21,16:58:38,18.70,60,53,0,0
2019-6-21,17:3:39,18.80,60,53,0,0
2019-6-21,17:8:40,18.90,60,53,0,0
2019-6-21,17:13:42,19.00,60,53,0,0
2019-6-21,17:18:43,19.00,60,53,0,0
2019-6-21,17:23:44,19.10,59,53,0,0
2019-6-21,17:28:45,19.20,59,53,0,0
2019-6-21,17:33:46,19.30,58,53,0,0
2019-6-21,17:38:48,19.40,58,53,0,0
2019-6-21,17:43:49,19.40,58,53,0,0
2019-6-21,17:48:50,19.50,57,53,0,0
2019-6-21,17:53:51,19.60,57,53,0,0
2019-6-21,17:58:52,19.70,57,53,0,0
2019-6-21,18:3:54,19.70,57,53,0,0
2019-6-21,18:8:55,19.70,57,53,0,0
2019-6-21,18:13:56,19.70,56,53,0,0
2019-6-21,18:18:57,19.70,56,53,0,0
2019-6-21,18:23:58,19.70,56,53,0,0
2019-6-21,18:29:0,19.70,56,53,0,0
2019-6-21,18:34:1,19.70,56,53,0,0
2019-6-21,18:39:2,19.70,56,54,0,0
2019-6-21,18:44:3,19.70,55,53,0,0
2019-6-21,18:49:4,19.70,55,53,0,0
2019-6-21,18:54:6,19.70,55,53,0,0
2019-6-21,18:59:7,19.70,55,53,0,0
2019-6-21,19:4:8,19.70,55,53,0,0
2019-6-21,19:9:9,19.70,55,53,0,0
2019-6-21,19:14:10,19.80,55,53,0,0
2019-6-21,19:19:12,20.00,54,53,0,0
2019-6-21,19:24:13,20.20,54,53,0,0
2019-6-21,19:29:14,20.30,54,53,0,0
2019-6-21,19:34:15,20.40,53,53,0,0
2019-6-21,19:39:16,20.60,53,53,0,0
2019-6-21,19:44:17,20.60,53,53,0,0
2019-6-21,19:49:19,20.60,53,53,0,0
2019-6-21,19:54:20,20.50,52,53,0,0
2019-6-21,19:59:21,20.40,53,54,0,0
